Token			Lexeme
KEYWORD			function
INVALID			convert1x
SEPARATOR			(
INVALID			fahr
SEPARATOR			:
KEYWORD			int
SEPARATOR			)
SEPARATOR			{
KEYWORD			return
INVALID			5
OPERATOR			*
SEPARATOR			(
INVALID			fahr
OPERATOR			-
INVALID			32
SEPARATOR			)
OPERATOR			/
INVALID			9
SEPARATOR			;
SEPARATOR			}
KEYWORD			$$
KEYWORD			int
INVALID			low
SEPARATOR			,
INVALID			high
SEPARATOR			,
INVALID			step
SEPARATOR			;
KEYWORD			get
SEPARATOR			(
INVALID			low
SEPARATOR			,
INVALID			high
SEPARATOR			,
INVALID			step
SEPARATOR			)
SEPARATOR			;
KEYWORD			while
SEPARATOR			(
INVALID			low
OPERATOR			<
INVALID			high
SEPARATOR			)
SEPARATOR			{
KEYWORD			put
SEPARATOR			(
INVALID			low
SEPARATOR			)
SEPARATOR			;
KEYWORD			put
SEPARATOR			(
INVALID			convert1x
SEPARATOR			(
INVALID			low
SEPARATOR			)
SEPARATOR			)
SEPARATOR			;
INVALID			low
OPERATOR			=
INVALID			low
OPERATOR			+
INVALID			step
SEPARATOR			;
SEPARATOR			}
KEYWORD			whileend
KEYWORD			$$
